"","seed","type","age_death","id","seed"
"144",411,"Joint Man/Woman",79,662,411
"145",668,"Joint Man/Woman",90,591,668
"146",691,"Joint Man/Woman",94,600,691
"147",857,"Joint Man/Woman",91,376,857
"148",781,"Joint Man/Woman",85,582,781
"149",817,"Joint Man/Woman",99,435,817
"150",1065,"Joint Man/Woman",95,319,1065
"151",1065,"Joint Man/Woman",86,999,1065
"152",146,"Joint Man/Woman",82,166,146
"153",535,"Joint Man/Woman",70,43,535
"154",618,"Joint Man/Woman",89,692,618
"155",718,"Joint Man/Woman",97,614,718
"156",591,"Joint Man/Woman",93,306,591
"157",429,"Joint Man/Woman",90,799,429
"158",609,"Joint Man/Woman",85,260,609
"159",1005,"Joint Man/Woman",91,619,1005
"160",860,"Joint Man/Woman",82,46,860
"161",145,"Joint Man/Woman",95,786,145
"162",389,"Joint Man/Woman",75,625,389
"163",824,"Joint Man/Woman",100,205,824
"164",511,"Joint Man/Woman",92,746,511
"165",451,"Joint Man/Woman",93,611,451
"166",1081,"Joint Man/Woman",99,756,1081
"167",119,"Joint Man/Woman",92,821,119
"168",622,"Joint Man/Woman",85,827,622
"169",261,"Joint Man/Woman",85,477,261
"170",267,"Joint Man/Woman",89,967,267
"171",639,"Joint Man/Woman",73,847,639
"172",386,"Joint Man/Woman",88,713,386
"173",590,"Joint Man/Woman",96,261,590
"174",800,"Joint Man/Woman",92,295,800
"175",1020,"Joint Man/Woman",84,935,1020
"176",712,"Joint Man/Woman",86,477,712
"177",122,"Joint Man/Woman",87,241,122
"178",260,"Joint Man/Woman",90,540,260
"179",548,"Joint Man/Woman",92,766,548
"180",329,"Joint Man/Woman",93,36,329
"181",871,"Joint Man/Woman",102,241,871
"182",782,"Joint Man/Woman",94,960,782
"183",204,"Joint Man/Woman",88,165,204
"184",1059,"Joint Man/Woman",96,792,1059
"185",784,"Joint Man/Woman",92,484,784
"186",585,"Joint Man/Woman",90,130,585
"187",1053,"Joint Man/Woman",96,596,1053
"188",313,"Joint Man/Woman",98,508,313
"189",845,"Joint Man/Woman",88,177,845
"190",418,"Joint Man/Woman",86,345,418
"191",905,"Joint Man/Woman",77,77,905
"192",432,"Joint Man/Woman",85,604,432
"193",894,"Joint Man/Woman",93,51,894
"194",726,"Joint Man/Woman",87,563,726
"195",951,"Joint Man/Woman",98,606,951
"196",225,"Joint Man/Woman",90,717,225
"197",449,"Joint Man/Woman",94,960,449
"198",166,"Joint Man/Woman",92,484,166
"199",670,"Joint Man/Woman",89,764,670
"200",1008,"Joint Man/Woman",89,407,1008
"201",546,"Joint Man/Woman",99,140,546
"202",731,"Joint Man/Woman",80,861,731
"203",1016,"Joint Man/Woman",89,799,1016
"204",398,"Joint Man/Woman",86,718,398
"205",283,"Joint Man/Woman",88,334,283
"206",153,"Joint Man/Woman",97,473,153
"207",1092,"Joint Man/Woman",82,109,1092
"208",353,"Joint Man/Woman",95,404,353
"209",408,"Joint Man/Woman",88,656,408
"210",877,"Joint Man/Woman",100,977,877
"211",896,"Joint Man/Woman",97,356,896
"212",780,"Joint Man/Woman",94,700,780
"213",613,"Joint Man/Woman",94,15,613
"214",299,"Joint Man/Woman",90,134,299
"215",177,"Joint Man/Woman",87,997,177
"216",1007,"Joint Man/Woman",97,707,1007
"217",896,"Joint Man/Woman",91,857,896
"218",701,"Joint Man/Woman",97,258,701
"219",983,"Joint Man/Woman",93,677,983
"220",651,"Joint Man/Woman",85,339,651
"221",355,"Joint Man/Woman",81,612,355
"222",620,"Joint Man/Woman",92,766,620
